Medics_Drugs	Fixed_Drugs	Toxicity	ToxicityName
alaproclate	alaproclate	2	pre_DILI
alatrofloxacin	alatrofloxacin	2	pre_DILI
alclofenac	alclofenac	2	pre_DILI
alpidem	alpidem	2	pre_DILI
amineptine	amineptine	2	pre_DILI
bendazac	bendazac	2	pre_DILI
benoxaprofen	benoxaprofen	2	pre_DILI
benzarone	benzarone	2	pre_DILI
benzbromarone	benzbromarone	2	pre_DILI
benziodarone	benziodarone	2	pre_DILI
bromfenac	bromfenac	2	pre_DILI
chlormezanone	chlormezanone	2	pre_DILI
cinchophen	cinchophen	2	pre_DILI
clomacron	clomacran	2	pre_DILI
clometacin	clometacin	2	pre_DILI
cyclofenil	cyclofenil	2	pre_DILI
droxicam	droxicam	2	pre_DILI
ebrotidine	ebrotidine	2	pre_DILI
exifone	exifone	2	pre_DILI
fenclozic acid	fenclozic acid	2	pre_DILI
fipexide	fipexide	2	pre_DILI
glafenine	glafenine	2	pre_DILI
ibufenac	ibufenac	2	pre_DILI
iproniazid	iproniazid	2	pre_DILI
isaxonine	isaxonine	2	pre_DILI
ketoconazole	ketoconazole	2	pre_DILI
lumiracoxib	lumiracoxib	2	pre_DILI
mebanazine	mebanazine	2	pre_DILI
mepazine	mepazine	2	pre_DILI
moxisylyte	moxisylyte	2	pre_DILI
nefazodone	nefazodone	2	pre_DILI
nialamide	nialamide	2	pre_DILI
nimesulide	nimesulide	2	pre_DILI
niperotidine	niperotidine	2	pre_DILI
nitrefazole	nitrefazole	2	pre_DILI
nomifensine	nomifensine	2	pre_DILI
oxyphenisatin	oxyphenisatine	2	pre_DILI
pemoline	pemoline	2	pre_DILI
perhexiline	perhexiline	2	pre_DILI
phenoxypropazine	phenoxypropazine	2	pre_DILI
pipamazine	pipamazine	2	pre_DILI
pirprofen	pirprofen	2	pre_DILI
sitaxsentan	sitaxentan	2	pre_DILI
sulfacarbamide	sulfacarbamide	2	pre_DILI
sulfathiazole	sulfathiazole	2	pre_DILI
suloctidil	suloctidil	2	pre_DILI
ticrynafen	ticrynafen	2	pre_DILI
tilbroquinol	tilbroquinol	2	pre_DILI
tolrestat	tolrestat	2	pre_DILI
triacetyldiphenolisatin	triacetyldiphenolisatin	2	pre_DILI
troglitazone	troglitazone	2	pre_DILI
trovafloxacin	trovafloxacin	2	pre_DILI
xenazoic acid	xenazoic acid	2	pre_DILI
ximelagatran	ximelagatran	2	pre_DILI
zimelidine	zimeldine	2	pre_DILI
acarbose	acarbose	1	DILI
aceclofenac	aceclofenac	1	DILI
acemetacin	acemetacin	1	DILI
acetylsalicylic acid	aspirin	1	DILI
acitretin	acitretin	1	DILI
alfuzosin	alfuzosin	1	DILI
aliskiren	aliskiren	1	DILI
allopurinol	allopurinol	1	DILI
amiodarone	amiodarone	1	DILI
amitriptyline	amitriptyline	1	DILI
amlodipine	amlodipine	1	DILI
amoxicillin	amoxicillin	1	DILI
anastrozole	anastrozole	1	DILI
atenolol	atenolol	1	DILI
atorvastatin	atorvastatin	1	DILI
azathioprine	azathioprine	1	DILI
azithromycin	azithromycin	1	DILI
bentazepam	bentazepam	1	DILI
benzylpenicillin	benzylpenicillin	1	DILI
bicalutamide	bicalutamide	1	DILI
bosentan	bosentan	1	DILI
bupropion	bupropion	1	DILI
captopril	captopril	1	DILI
carbamazepine	carbamazepine	1	DILI
carbimazole	carbimazole	1	DILI
carbimide	cyanamide	1	DILI
carvedilol	carvedilol	1	DILI
ceftriaxone	ceftriaxone	1	DILI
cefuroxime	cefuroxime	1	DILI
cetirizine	cetirizine	1	DILI
chlorpromazine	chlorpromazine	1	DILI
cinitapride	cinitapride	1	DILI
ciprofloxacin	ciprofloxacin	1	DILI
citalopram	citalopram	1	DILI
clarithromycin	clarithromycin	1	DILI
clomethiazole	clomethiazole	1	DILI
clomifene	clomiphene	1	DILI
clopidogrel	clopidogrel	1	DILI
cloxacillin	cloxacillin	1	DILI
clozapine	clozapine	1	DILI
cyproterone acetate	cyproterone acetate	1	DILI
danazol	danazol	1	DILI
dapsone	dapsone	1	DILI
desloratadine	desloratadine	1	DILI
desogestrel	desogestrel	1	DILI
